상권_코드,상권_코드_명,score,resident_pop_2024,floating_pop_2024,estimated_sales_2024,lat,lon
3120153,노량진역(노량진),7.747089232026663,49390,45182343,5419195798678,37.51400379942406,126.94026888045805
3120189,강남역,5.903923415276199,136844,192572616,2092618835020,37.497571080859984,127.02775137801612
3120131,가산디지털단지,5.454222017937017,90198,27797801,3761315343338,37.47710336567554,126.88288724300118
3001492,명동 남대문 북창동 다동 무교동 관광특구,5.178048971616536,21240,173404731,2323168283547,37.56405849550582,126.98185518628583
3001495,잠실 관광특구,4.490063028442694,202576,96379422,1797325989068,37.516431783052106,127.1152376590501
3001494,종로·청계 관광특구,4.431734415041567,38850,217027839,1233135489141,37.57000516981832,126.9976861745869
3120009,종로3가역,4.243196607124752,78562,151104088,1618181711425,37.57165486635069,126.99069738776682
3120040,용산전자상가(용산역),4.035433966909333,29590,29124563,3011996065702,37.53327288404655,126.96155999191771
3110659,화곡역 4번,3.898006578518805,423004,121546773,56652348811,37.540559168732464,126.84644793797418
3110544,망리단길,2.937044615650155,268338,122858245,82584012027,37.554952196352055,126.90515529134771
3120197,역삼역,2.840374470362874,126420,116732375,750707412140,37.500403146545224,127.03595042694403
3120094,"신촌역(신촌역, 신촌로터리)",2.824727486687752,80954,158974307,500468613736,37.55652724182592,126.93641815570552
3110656,까치산역 3번,2.8028388726338114,209708,139436894,85219090054,37.528764779986666,126.84295953716365
3110892,관악구 중앙길,2.7888944368621993,258636,118059948,73395076849,37.484285805280614,126.95112586318153
3120210,선릉역,2.755273562516384,102604,130148366,657900348717,37.50461513844114,127.0493516371944
3120076,수유역,2.6597312537824123,124090,122937485,564893902490,37.6377568028286,127.02499117728316
3120227,잠실역,2.604958318250423,117922,27446791,1581433298700,37.51398695204335,127.10127338629076
3120157,신림역(신림),2.59986058400221,185794,116057118,303623293550,37.48472845569667,126.930239097815
3120104,연남동(홍대),2.5027438439619085,156124,117540554,358184086045,37.560069719908114,126.92246937928459
3120103,홍대입구역(홍대),2.4891310612620114,92316,105033412,784953646241,37.55194818674427,126.92128794070655
